Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,PF,21,MIA,20,2,15.9,2.9,4.6,.630,0.0,0.0,0,2.9,4.6,.630,.630,1.6,2.9,.544,1.7,3.1,4.8,0.8,0.4,0.7,1.2,2.1,7.4
Jaylen Adams,PG,24,MIL,1,0,1.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,0,.000,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steven Adams,C,27,NOP,18,18,30.3,3.7,6.3,.593,0.0,0.1,.000,3.7,6.2,.598,.593,1.1,2.3,.488,4.2,5.6,9.8,2.5,0.9,0.6,2.0,1.9,8.6
Bam Adebayo,C,23,MIA,18,18,33.1,7.4,12.7,.588,0.1,0.3,.400,7.3,12.4,.592,.592,5.1,5.9,.860,1.8,7.5,9.3,5.3,0.8,0.9,3.1,2.6,20.1
LaMarcus Aldridge,C,35,SAS,18,18,26.7,5.9,12.5,.476,1.3,3.7,.358,4.6,8.8,.525,.529,0.9,1.2,.762,0.8,3.5,4.3,1.9,0.4,0.9,0.9,1.5,14.1
Ty-Shon Alexander,SG,22,PHO,3,0,2.7,0.0,1.0,.000,0.0,0.3,.000,0.0,0.7,.000,.000,0.0,0.0,0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,0.0
Nickeil Alexander-Walker,SG,22,NOP,17,3,21.4,3.9,9.5,.410,1.3,4.3,.301,2.6,5.2,.500,.478,1.4,1.8,.767,0.2,2.8,3.0,2.1,1.2,0.4,1.4,1.9,10.4
Grayson Allen,SG,25,MEM,12,4,21.5,2.3,6.0,.375,1.5,4.2,.360,0.8,1.8,.409,.500,2.0,2.3,.889,0.5,2.4,2.9,2.0,1.0,0.3,1.2,0.8,8.0
Jarrett Allen,C,22,TOT,20,6,26.1,4.3,6.2,.691,0.0,0.0,0,4.3,6.2,.691,.691,3.6,4.7,.763,3.0,6.4,9.4,1.4,0.5,1.8,1.6,1.7,12.1
Jarrett Allen,C,22,BRK,12,5,26.7,3.7,5.4,.677,0.0,0.0,0,3.7,5.4,.677,.677,3.8,5.1,.754,3.2,7.3,10.4,1.7,0.6,1.6,1.8,1.8,11.2
